final time,n time steps,m,mesh size,L2 error,L2 rate,H1 error,H1 rate
1,20,10,1,0.1,,0.5,
,,20,0.5,0.025,2,0.25,1
,,40,0.25,0.00625,2,0.125,1
,,,,,,,
,40,10,1,0.1,,0.5,
,,20,0.5,0.025,2,0.25,1
,,40,0.25,0.00625,2,0.125,1
,,,,,,,
,80,10,1,0.1,,0.5,
,,20,0.5,0.025,2,0.25,1
,,40,0.25,0.00625,2,0.125,1
,,,,,,,
3,20,10,1,0.1,,0.5,
,,20,0.5,0.025,2,0.25,1
,,40,0.25,0.00625,2,0.125,1
,,,,,,,
,40,10,1,0.1,,0.5,
,,20,0.5,0.025,2,0.25,1
,,40,0.25,0.00625,2,0.125,1
,,,,,,,
,80,10,1,0.1,,0.5,
,,20,0.5,0.025,2,0.25,1
,,40,0.25,0.00625,2,0.125,1
